Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,8/28/2024 7:51,FALSE,Douglas County Running,6.3,586,0:36:44,182,195,175,188,5:50,5:25,223,249,1.58,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,01:46.3,7,NaN,0:36:35,0:37:19,"5,838","5,874"
Running,8/28/2024 7:35,FALSE,Douglas County Running,1.27,122,0:10:01,140,163,166,191,7:55,4:53,49,41,1.23,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,02:04.5,2,NaN,0:09:55,0:10:01,"5,838","5,875"
Running,8/27/2024 7:20,FALSE,Douglas County Running,6.98,616,0:50:01,146,174,168,190,7:10,4:13,367,362,1.34,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,06:48.7,7,NaN,0:49:49,0:54:17,"5,854","6,065"
Running,8/26/2024 7:31,FALSE,Douglas County Running,6.71,606,0:50:01,139,161,167,188,7:27,5:03,476,471,1.29,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,05:06.7,7,NaN,0:49:54,0:52:11,"5,912","6,271"
Running,8/24/2024 7:06,FALSE,Parker Running,15,"1,353",1:38:04,163,191,172,195,6:32,4:43,189,186,1.43,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:00.8,16,NaN,1:38:01,1:38:04,"5,771","5,939"
Running,8/23/2024 7:19,FALSE,Douglas County Running,6.8,613,0:50:01,148,172,168,188,7:22,4:46,461,460,1.3,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,05:40.7,7,NaN,0:49:57,0:50:51,"5,840","6,125"
Running,8/22/2024 6:45,FALSE,Douglas County Running,0.5,47,04:30.4,136,142,160,167,8:58,8:30,--,--,1.12,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,04:30.4,1,NaN,0:04:30,04:30.4,"6,086","6,096"
Running,8/22/2024 6:15,FALSE,Douglas County Running,3.75,300,0:22:05,161,185,173,201,5:53,4:04,13,13,1.57,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,04:06.4,4,NaN,0:21:44,0:28:00,"6,085","6,096"
Running,8/22/2024 6:03,FALSE,Douglas County Running,1.25,114,09:31.9,139,159,167,189,7:39,5:06,--,--,1.26,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,01:53.9,2,NaN,0:09:31,09:47.9,"6,086","6,096"
Running,8/20/2024 7:33,FALSE,Douglas County Running,8.8,769,0:59:13,164,197,170,190,6:44,5:01,407,424,1.4,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,05:55.4,9,NaN,0:58:52,1:10:29,"5,911","6,097"
Running,8/19/2024 14:05,FALSE,Douglas County Running,5,471,0:35:39,159,181,167,189,7:08,4:31,243,244,1.35,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:01.2,6,NaN,0:35:33,0:36:09,"5,841","6,028"
Running,8/19/2024 8:09,FALSE,Centennial Running,4.03,391,0:34:59,142,166,163,172,8:41,7:18,90,106,1.14,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:15.8,5,NaN,0:34:56,0:34:59,"5,581","5,694"
Running,8/17/2024 7:27,FALSE,Centennial Running,16,"1,395",1:49:02,150,167,170,182,6:49,5:36,32,39,1.39,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:01.0,17,NaN,1:48:57,1:49:05,"5,476","5,536"
Running,8/16/2024 17:09,FALSE,Douglas County Running,3,260,0:22:54,138,165,164,172,7:38,6:51,125,130,1.28,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:00.8,4,NaN,0:22:48,0:23:13,"5,565","5,696"
Running,8/16/2024 9:38,FALSE,Douglas County Running,5.01,449,0:42:12,135,150,162,229,8:25,4:11,73,86,1.18,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:06.2,6,NaN,0:42:07,0:42:23,"5,501","5,548"
Running,8/15/2024 7:15,FALSE,Douglas County Running,1.06,99,0:10:01,127,137,160,167,9:28,8:57,--,--,1.06,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:30.6,2,NaN,09:55.6,0:10:01,"6,086","6,096"
Running,8/15/2024 6:30,FALSE,Douglas County Running,4.9,282,0:30:24,133,162,172,221,6:12,3:57,30,26,1.51,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,05:11.1,5,NaN,0:29:34,0:41:59,"6,085","6,096"
Running,8/15/2024 6:15,FALSE,Douglas County Running,1.25,122,0:10:09,137,148,167,201,8:05,4:22,--,--,1.19,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,01:58.0,2,NaN,0:10:04,0:10:09,"6,085","6,096"
Running,8/14/2024 16:19,FALSE,Douglas County Running,3.19,296,0:25:00,142,161,166,183,7:51,6:57,167,178,1.23,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,01:19.4,4,NaN,0:24:59,0:25:00,"5,803","5,921"
Running,8/14/2024 9:07,FALSE,Douglas County Running,5.55,511,0:42:00,148,177,167,180,7:34,6:58,395,405,1.27,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,03:58.1,6,NaN,0:41:53,0:43:22,"5,812","6,046"
Running,8/13/2024 8:33,FALSE,Douglas County Running,10.52,982,1:10:00,168,188,172,195,6:39,5:25,395,401,1.41,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,04:21.8,11,NaN,1:09:49,1:12:12,"5,911","6,065"
Running,8/12/2024 10:15,FALSE,Douglas County Running,4.04,371,0:30:00,145,163,165,174,7:26,7:05,197,199,1.31,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:15.8,5,NaN,0:30:00,0:30:00,"5,883","6,020"
Running,8/10/2024 7:12,FALSE,Littleton Running,22,"1,962",2:28:31,154,184,171,188,6:45,5:48,144,144,1.39,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:00.9,23,NaN,2:28:01,2:36:08,"5,298","5,367"
Running,8/9/2024 9:14,FALSE,Lone Tree Running,8.04,762,1:00:01,150,181,170,192,7:28,5:14,780,801,1.27,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:17.0,9,NaN,0:59:56,1:00:01,"6,083","6,306"
Running,8/8/2024 7:11,FALSE,Douglas County Running,7.66,679,0:53:30,145,186,171,200,6:59,4:42,255,273,1.35,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,05:27.6,8,NaN,0:52:58,1:09:43,"5,840","5,937"
Running,8/6/2024 7:26,FALSE,Littleton Running,14,"1,261",1:29:58,172,186,175,185,6:25,5:39,91,93,1.43,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:01.4,15,NaN,1:29:37,1:37:57,"5,289","5,496"
Running,8/5/2024 16:27,FALSE,Douglas County Running,3.24,297,0:25:01,143,163,167,177,7:43,6:59,203,200,1.25,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,01:48.3,4,NaN,0:24:56,0:25:20,"5,894","5,989"
Running,8/5/2024 7:20,FALSE,Douglas County Running,8.67,846,1:05:01,158,184,167,185,7:30,5:37,666,661,1.28,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,04:40.7,9,NaN,1:04:47,1:09:11,"5,869","6,291"
Running,8/3/2024 6:59,FALSE,Parker Running,18,"1,608",2:01:48,160,185,171,185,6:46,5:51,269,271,1.39,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:00.6,19,NaN,2:01:29,2:04:33,"5,773","5,984"
Running,8/2/2024 5:43,FALSE,Douglas County Running,7.6,696,1:00:01,136,159,168,188,7:53,5:22,345,341,1.21,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,04:35.0,8,NaN,0:59:38,1:04:35,"5,781","6,029"
Running,8/1/2024 9:05,FALSE,Douglas County Running,0.98,96,0:10:01,139,150,157,168,10:12,9:31,23,20,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,0:10:01,1,NaN,0:09:56,0:10:36,"6,074","6,090"
Running,8/1/2024 8:04,FALSE,Douglas County Running,6.48,434,0:41:11,145,171,170,213,6:21,3:53,--,--,1.49,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,02:49.6,7,NaN,0:40:02,0:56:06,"6,085","6,096"
Running,8/1/2024 7:47,FALSE,Douglas County Running,1.25,116,0:10:01,137,155,166,191,8:00,5:00,100,93,1.21,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,02:01.9,2,NaN,0:10:01,0:10:01,"6,045","6,100"
Running,7/31/2024 6:40,FALSE,Douglas County Running,3.86,346,0:31:01,132,157,167,201,8:02,4:38,207,212,1.19,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,06:27.6,4,NaN,0:30:47,0:33:53,"5,800","5,936"
Running,7/30/2024 7:42,FALSE,Douglas County Running,11.13,"1,011",1:18:16,166,187,169,193,7:02,4:44,487,504,1.35,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,01:07.1,12,NaN,1:17:59,1:28:57,"5,911","6,098"
