Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2024-08-30 09:27:20,false,"Holden Beach Walking","2.40","227","00:45:25","94","119","107","236","18:56","13:42","8","8","0.80","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:07:55.7","3","NaN","00:45:24","00:45:29","--","8"
Running,2024-08-29 08:55:44,false,"Holden Beach Running","7.01","673","01:09:04","143","167","171","184","9:51","7:58","11","5","0.96","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:08.8","8","NaN","01:08:48","01:20:01","--","10"
Running,2024-08-28 07:18:02,false,"Shallotte Running","5.01","438","00:37:45","160","188","173","228","7:32","5:27","--","--","1.24","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:07.9","6","NaN","00:36:46","00:57:31","39","43"
Walking,2024-08-27 08:55:53,false,"Holden Beach Walking","1.63","157","00:30:12","93","107","115","246","18:30","12:43","5","--","0.75","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:11:12","2","NaN","00:30:08","00:30:12","--","25"
Running,2024-08-26 08:20:43,false,"Holden Beach Running","5.12","521","00:48:22","148","174","176","246","9:27","5:56","6","5","0.97","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:01:00","6","NaN","00:48:20","00:50:29","--","10"
Running,2024-08-25 08:25:11,false,"Winston-Salem Running","3.81","360","00:38:40","137","156","169","182","10:08","8:54","214","214","0.94","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:08:17.3","4","NaN","00:38:23","00:43:42","800","932"
Running,2024-08-24 06:08:16,false,"Winston-Salem Running","22.01","2,251","03:23:23","159","187","175","193","9:14","7:29","1,084","1,085","0.99","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:06.4","23","NaN","03:20:50","03:42:10","732","983"
Cardio,2024-08-23 08:24:34,false,"Cardio","0.00","79","00:26:07","82","128","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:26:07","1","NaN","00:00:00","00:26:07","783","783"
Cardio,2024-08-22 08:53:33,false,"Cardio","0.00","195","00:45:10","97","134","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:45:10","1","NaN","00:00:00","00:45:10","783","783"
Running,2024-08-21 19:10:31,false,"Winston-Salem Running","4.01","374","00:32:43","155","176","175","188","8:10","6:37","1,033","129","1.12","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:06.4","5","NaN","00:32:29","00:37:16","20","979"
Cardio,2024-08-20 08:50:33,false,"Cardio","0.00","250","00:36:05","118","159","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:36:05","1","NaN","00:00:00","00:36:05","880","880"
Running,2024-08-20 06:39:23,false,"Winston-Salem Running","9.01","714","01:12:16","150","188","179","208","8:01","4:42","124","123","1.12","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:06.0","10","NaN","01:11:35","01:44:53","746","774"
Running,2024-08-18 13:43:40,false,"Winston-Salem Running","7.01","661","01:08:19","143","154","171","188","9:45","8:27","193","189","0.96","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:05.8","8","NaN","01:07:49","01:24:14","721","778"
Running,2024-08-17 06:33:40,false,"Winston-Salem Running","15.02","1,537","02:23:36","155","186","175","188","9:34","7:17","641","625","0.96","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:07.1","16","NaN","02:23:06","02:45:26","742","972"
Cardio,2024-08-16 09:34:13,false,"Cardio","0.00","204","00:30:11","119","145","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:30:11","1","NaN","00:00:00","00:30:11","814","814"
Running,2024-08-16 08:53:46,false,"Winston-Salem Running","3.10","323","00:30:59","145","160","170","180","9:59","8:41","171","167","0.95","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:01:05.1","4","NaN","00:30:48","00:35:29","796","906"
Running,2024-08-15 17:36:33,false,"Winston-Salem Running","7.09","762","01:07:06","157","177","175","185","9:28","6:33","344","354","0.97","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:49.7","8","NaN","01:06:43","01:20:14","741","971"
Cardio,2024-08-15 08:14:05,false,"Cardio","0.00","106","00:26:06","94","131","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:26:06","1","NaN","00:00:00","00:26:06","--","--"
Cardio,2024-08-14 08:01:07,false,"Cardio","0.00","232","00:35:21","117","148","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:35:21","1","NaN","00:00:00","00:35:21","--","--"
Running,2024-08-14 06:01:56,false,"Winston-Salem Running","8.01","719","01:05:00","156","198","181","231","8:07","4:42","41","27","1.10","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:04.2","9","NaN","01:04:35","01:30:01","747","767"
Running,2024-08-12 18:15:52,false,"Winston-Salem Running","5.01","527","00:48:44","149","172","177","186","9:44","8:43","265","263","0.93","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:06.9","6","NaN","00:48:40","00:49:58","742","971"
Cardio,2024-08-12 17:20:00,false,"Cardio","0.00","233","00:43:35","107","148","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:43:35","1","NaN","00:00:00","00:43:35","--","--"
Running,2024-08-11 06:23:28,false,"Winston-Salem Running","20.01","1,905","03:05:08","154","181","175","239","9:15","7:04","741","738","1.00","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:03.3","21","NaN","03:04:22","03:27:52","785","984"
Running,2024-08-09 08:52:09,false,"Winston-Salem Running","6.01","619","00:58:02","151","166","173","188","9:40","6:41","291","313","0.96","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:06.0","7","NaN","00:57:50","01:02:06","802","983"
Cardio,2024-08-07 07:57:16,false,"Cardio","0.00","202","00:33:28","112","133","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:33:28","1","NaN","00:00:00","00:33:28","749","749"
Running,2024-08-07 05:58:41,false,"Winston-Salem Running","8.01","723","01:07:24","152","192","179","229","8:25","5:24","81","81","1.06","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:05.6","9","NaN","01:06:57","01:34:32","743","772"
Cardio,2024-08-06 19:09:55,false,"Cardio","0.00","202","00:32:48","115","159","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:32:48","1","NaN","00:00:00","00:32:48","803","803"
Running,2024-08-06 17:58:38,false,"Winston-Salem Running","6.01","598","00:59:16","145","167","172","199","9:52","5:27","300","301","0.95","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:06.8","7","NaN","00:59:01","01:05:57","796","972"
Walking,2024-08-05 12:30:31,false,"Blowing Rock Walking","2.30","282","01:02:23","94","112","81","245","27:09","10:43","730","729","0.75","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:06:35.7","3","NaN","00:52:28","01:14:22","2,934","3,529"
Running,2024-08-04 09:38:21,false,"Ashe County Running","5.01","491","00:44:28","151","167","178","188","8:53","6:36","117","101","1.02","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:03.7","6","NaN","00:44:17","00:44:33","2,931","3,008"
Running,2024-08-03 06:08:30,false,"Winston-Salem Running","18.01","1,829","02:48:03","159","194","177","240","9:20","6:59","1,063","1,043","0.97","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:09.0","19","NaN","02:47:05","03:20:26","742","983"
Running,2024-08-01 17:03:01,false,"Winston-Salem Running","10.00","1,109","01:36:05","159","181","173","186","9:36","7:55","629","639","0.97","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:03.9","11","NaN","01:35:12","01:56:21","741","972"
Cardio,2024-07-31 07:53:40,false,"Cardio","0.00","187","00:33:10","110","149","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:33:10","1","NaN","00:00:00","00:35:19","749","749"
Running,2024-07-31 05:55:39,false,"Winston-Salem Running","7.09","630","00:55:45","160","194","177","198","7:51","5:38","82","89","1.15","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:47.5","8","NaN","00:55:08","01:29:56","747","769"
