ID da atividade,Data da atividade,Nome da atividade,Tipo de atividade,Descrição da atividade,Tempo decorrido,Distância,Frequência cardíaca máxima,Esforço relativo,Deslocamento,Observação privada da atividade,Equipamento da atividade,Nome do arquivo,Peso do atleta,Peso da bicicleta,Tempo decorrido,Tempo de movimentação,Distância,Velocidade máx.,Velocidade média,Ganho de elevação,Perda de elevação,Elevação mínima,Elevação máxima,Inclinação máxima,Inclinação média,Inclinação positiva média,Inclinação negativa média,Cadência máxima,Cadência média,Frequência cardíaca máxima,Frequência cardíaca média,Máximo de watts,Média de watts,Calorias,Temperatura máxima,Temperatura média,Esforço relativo,Total de trabalho,Número de corridas,Tempo de subida,Tempo de descida,Outro tempo,Percepção de esforço,Tipo,Hora de início,Média ponderada de potência,Contagem de potência,Usar Percepção de esforço,Percepção de esforço relativo,Deslocamento,Peso total levantado,Da atividade carregada,Distância ajustada à inclinação,Tempo de observação do clima,Condição climática,Temperatura atmosférica,Temperatura aparente,Ponto de orvalho,Umidade,Pressão atmosférica,Velocidade do vento,Rajada de vento,Direção do vento,Intensidade da precipitação,Hora do nascer do sol,Hora do pôr do sol,Fase da lua,Bicicleta,Equipamento,Probabilidade de precipitação,Tipo de precipitação,Nebulosidade,Visibilidade,Índice UV,Previsão de ozônio,Contagem de pulos,Garra total,Fluxo médio,Sinalizado,Velocidade média (tempo decorrido),Distância na terra,Distância recém-explorada,Distância de terra recém-explorada,Contagem de atividades,Total de passos,Economia de carbono,Extensão da piscina,Carga de treinamento,Intensidade,Ritmo Ajustado à inclinação média,Tempo do temporizador,Total de ciclos,Mídia
629270206,5 de jan de 2010 09:28:27,Corrida matinal,Corrida,"",1991,"5,08",174.0,116,false,,"",activities/688460432.tcx.gz,75.9000015258789,,1991.0,1988.0,5088.10009765625,3.700000047683716,,30.219999313354492,,0.0,16.0,23.200000762939453,0.08058017492294312,,,,,174.0,147.46421813964844,,,490.4748840332031,,,116.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525988.0,,,,,,,,,,,,,,,,,,,,,,,,""
629270212,29 de dez de 2009 09:18:27,Corrida matinal,Corrida,"",2292,"2,46",140.0,21,false,,"",activities/688460458.tcx.gz,75.9000015258789,,2292.0,1309.0,2465.199951171875,2.799999952316284,,24.614999771118164,,0.0,14.5,29.899999618530273,0.08924224972724915,,,,,140.0,114.2777328491211,,,236.71376037597656,,,21.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525988.0,,,,,,,,,,,,,,,,,,,,,,,,""
629270215,2 de jan de 2010 21:56:44,Corrida ao entardecer,Corrida,"",2264,"4,99",152.0,75,false,,"",activities/688460455.tcx.gz,75.9000015258789,,2264.0,2238.0,4991.2001953125,3.0999999046325684,,37.4566650390625,,0.0,48.5,22.0,-0.7953999042510986,,,,,152.0,129.73745727539062,,,470.2101745605469,,,75.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525988.0,,,,,,,,,,,,,,,,,,,,,,,,""
629270222,26 de dez de 2009 10:09:02,Corrida matinal,Corrida,"",3048,"4,33",143.0,61,false,,"",activities/688460463.tcx.gz,75.9000015258789,,3048.0,2023.0,4333.89990234375,2.9000000953674316,,0.0,,4.300000190734863,13.899999618530273,27.0,0.011536999605596066,,,,,143.0,122.49600219726562,,,410.83355712890625,,,61.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525988.0,,,,,,,,,,,,,,,,,,,,,,,,""
629270227,26 de jan de 2010 09:27:28,Corrida matinal,Corrida,"",1942,"5,02",167.0,120,false,,"",activities/688460469.tcx.gz,75.9000015258789,,1942.0,1942.0,5024.0,4.099999904632568,,45.9658317565918,,0.0,41.79999923706055,21.899999618530273,-0.011942675337195396,,,,,167.0,149.8458709716797,,,483.1262512207031,,,120.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525988.0,,,,,,,,,,,,,,,,,,,,,,,,""
629270228,23 de jan de 2010 09:51:39,Corrida matinal,Corrida,"",2507,"5,96",160.0,138,false,,"",activities/688460467.tcx.gz,75.9000015258789,,2507.0,2507.0,5960.0,2.700000047683716,,35.60333251953125,,0.0,12.699999809265137,27.899999618530273,0.12751677632331848,,,,,160.0,145.0143585205078,,,577.4555053710938,,,138.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525988.0,,,,,,,,,,,,,,,,,,,,,,,,""
629270229,28 de jan de 2010 09:41:10,Corrida matinal,Corrida,"",1540,"4,35",175.0,101,false,,"",activities/688460472.tcx.gz,75.9000015258789,,1540.0,1540.0,4358.2001953125,4.699999809265137,,0.0,,13.5,21.700000762939453,4.400000095367432,0.009178100153803825,,,,,175.0,148.9530029296875,,,408.4275207519531,,,101.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525988.0,,,,,,,,,,,,,,,,,,,,,,,,""
629270239,9 de fev de 2010 09:15:31,Corrida matinal,Corrida,"",1804,"4,73",177.0,92,false,,"",activities/688460488.tcx.gz,75.9000015258789,,1804.0,1801.0,4738.60009765625,5.300000190734863,,0.0,,13.600000381469727,21.100000381469727,4.300000190734863,-0.004220656119287014,,,,,177.0,143.39822387695312,,,444.06097412109375,,,92.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525988.0,,,,,,,,,,,,,,,,,,,,,,,,""
629270240,6 de fev de 2010 09:46:20,Corrida matinal,Corrida,"",3732,"9,04",165.0,200,false,,"",activities/688460480.tcx.gz,75.9000015258789,,3732.0,3726.0,9046.7998046875,3.299999952316284,,13.899999618530273,,0.0,14.300000190734863,11.699999809265137,-0.00442145299166441,,,,,165.0,144.52000427246094,,,854.2697143554688,,,200.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525988.0,,,,,,,,,,,,,,,,,,,,,,,,""
629270243,30 de jan de 2010 09:49:13,Corrida matinal,Corrida,"",4410,"10,01",169.0,242,false,,"",activities/688460476.tcx.gz,75.9000015258789,,4410.0,4410.0,10013.099609375,2.700000047683716,,12.9399995803833,,0.0,14.399999618530273,15.899999618530273,-0.0009986916556954384,,,,,169.0,144.60240173339844,,,944.532958984375,,,242.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525988.0,,,,,,,,,,,,,,,,,,,,,,,,""
